梅州3频道,#genre#
CCTV1,http://119.125.134.228:9902/tsfile/live/0001_1.m3u8
CCTV2,http://119.125.134.228:9902/tsfile/live/0002_1.m3u8
CCTV3,http://119.125.134.228:9902/tsfile/live/0003_1.m3u8
CCTV4,http://119.125.134.228:9902/tsfile/live/0004_1.m3u8
CCTV5,http://119.125.134.228:9902/tsfile/live/0005_1.m3u8
CCTV5+,http://119.125.134.228:9902/tsfile/live/0016_1.m3u8
CCTV6,http://119.125.134.228:9902/tsfile/live/0006_1.m3u8
CCTV7,http://119.125.134.228:9902/tsfile/live/0007_1.m3u8
CCTV8,http://119.125.134.228:9902/tsfile/live/0008_1.m3u8
CCTV9,http://119.125.134.228:9902/tsfile/live/0009_1.m3u8
CCTV10,http://119.125.134.228:9902/tsfile/live/0010_1.m3u8
CCTV11,http://119.125.134.228:9902/tsfile/live/0011_1.m3u8
CCTV12,http://119.125.134.228:9902/tsfile/live/0012_1.m3u8
CCTV13,http://119.125.134.228:9902/tsfile/live/0013_1.m3u8
CCTV14,http://119.125.134.228:9902/tsfile/live/0014_1.m3u8
CCTV15,http://119.125.134.228:9902/tsfile/live/0015_1.m3u8
CCTV16,http://119.125.134.228:9902/tsfile/live/1008_1.m3u8
CGTN,http://119.125.134.228:9902/tsfile/live/1018_1.m3u8

翡翠台,http://119.125.134.228:9902/tsfile/live/1007_1.m3u8
明珠台,http://119.125.134.228:9902/tsfile/live/1009_1.m3u8
凤凰中文,http://119.125.134.228:9902/tsfile/live/1019_1.m3u8
CHC高清电影,http://119.125.134.228:9902/tsfile/live/1023_1.m3u8
CHC家庭电影,http://119.125.134.228:9902/tsfile/live/1027_1.m3u8
CHC动作电影,http://119.125.134.228:9902/tsfile/live/1028_1.m3u8
怀旧剧场,http://119.125.134.228:9902/tsfile/live/1022_1.m3u8
都市剧场,http://119.125.134.228:9902/tsfile/live/1056_1.m3u8
风云剧场,http://119.125.134.228:9902/tsfile/live/1024_1.m3u8
谍战剧场,http://119.125.134.228:9902/tsfile/live/1025_1.m3u8
相声小品,http://119.125.134.228:9902/tsfile/live/1026_1.m3u8
热播剧场,http://119.125.134.228:9902/tsfile/live/1029_1.m3u8
广东卫视,http://119.125.134.228:9902/tsfile/live/0125_1.m3u8
广东珠江,http://119.125.134.228:9902/tsfile/live/1010_1.m3u8
广东新闻,http://119.125.134.228:9902/tsfile/live/1011_1.m3u8
广东公共,http://119.125.134.228:9902/tsfile/live/1012_1.m3u8
广东体育,http://119.125.134.228:9902/tsfile/live/1013_1.m3u8
广东影视,http://119.125.134.228:9902/tsfile/live/1016_1.m3u8
广东少儿,http://119.125.134.228:9902/tsfile/live/1017_1.m3u8
新视觉,http://119.125.134.228:9902/tsfile/live/1057_1.m3u8
新科动漫,http://119.125.134.228:9902/tsfile/live/1021_1.m3u8
嘉佳卡通,http://119.125.134.228:9902/tsfile/live/1030_1.m3u8
卡酷少儿,http://119.125.134.228:9902/tsfile/live/1031_1.m3u8
金鹰卡通,http://119.125.134.228:9902/tsfile/live/1032_1.m3u8
炫动卡通,http://119.125.134.228:9902/tsfile/live/1033_1.m3u8
少儿动画,http://119.125.134.228:9902/tsfile/live/1034_1.m3u8
中国教育,http://119.125.134.228:9902/tsfile/live/1052_1.m3u8
金鹰纪实,http://119.125.134.228:9902/tsfile/live/1053_1.m3u8
上海纪实,http://119.125.134.228:9902/tsfile/live/1055_1.m3u8
经济科教,http://119.125.134.228:9902/tsfile/live/1014_1.m3u8
熊猫频道,http://119.125.134.228:9902/tsfile/live/1054_1.m3u8

南方卫视,http://119.125.134.228:9902/tsfile/live/1015_1.m3u8
三沙卫视,http://119.125.134.228:9902/tsfile/live/1020_1.m3u8
湖南卫视,http://119.125.134.228:9902/tsfile/live/0128_1.m3u8
浙江卫视,http://119.125.134.228:9902/tsfile/live/1035_1.m3u8
江苏卫视,http://119.125.134.228:9902/tsfile/live/1036_1.m3u8
东方卫视,http://119.125.134.228:9902/tsfile/live/1037_1.m3u8
安徽卫视,http://119.125.134.228:9902/tsfile/live/1038_1.m3u8
北京卫视,http://119.125.134.228:9902/tsfile/live/1039_1.m3u8
天津卫视,http://119.125.134.228:9902/tsfile/live/1040_1.m3u8
山东卫视,http://119.125.134.228:9902/tsfile/live/1041_1.m3u8
江西卫视,http://119.125.134.228:9902/tsfile/live/1042_1.m3u8
深圳卫视,http://119.125.134.228:9902/tsfile/live/1043_1.m3u8
湖北卫视,http://119.125.134.228:9902/tsfile/live/0132_1.m3u8
辽宁卫视,http://119.125.134.228:9902/tsfile/live/1044_1.m3u8
黑龙江卫视,http://119.125.134.228:9902/tsfile/live/1045_1.m3u8
贵州卫视,http://119.125.134.228:9902/tsfile/live/1046_1.m3u8
四川卫视,http://119.125.134.228:9902/tsfile/live/1047_1.m3u8
重庆卫视,http://119.125.134.228:9902/tsfile/live/1048_1.m3u8
河北卫视,http://119.125.134.228:9902/tsfile/live/1049_1.m3u8
东南卫视,http://119.125.134.228:9902/tsfile/live/1050_1.m3u8
吉林卫视,http://119.125.134.228:9902/tsfile/live/1051_1.m3u8
河南卫视,http://119.125.134.228:9902/tsfile/live/0139_1.m3u8
广西卫视,http://119.125.134.228:9902/tsfile/live/0113_1.m3u8
陕西卫视,http://119.125.134.228:9902/tsfile/live/0136_1.m3u8
山西卫视,http://119.125.134.228:9902/tsfile/live/0118_1.m3u8
内蒙古卫视,http://119.125.134.228:9902/tsfile/live/0109_1.m3u8
青海卫视,http://119.125.134.228:9902/tsfile/live/0140_1.m3u8
旅游卫视,http://119.125.134.228:9902/tsfile/live/0114_1.m3u8
宁夏卫视,http://119.125.134.228:9902/tsfile/live/0112_1.m3u8
西藏卫视,http://119.125.134.228:9902/tsfile/live/0111_1.m3u8
新疆卫视,http://119.125.134.228:9902/tsfile/live/0110_1.m3u8
甘肃卫视,http://119.125.134.228:9902/tsfile/live/0141_1.m3u8
兵团卫视,http://119.125.134.228:9902/tsfile/live/0115_1.m3u8
